real answer,generated answer,source,annotation group,index,bx reaction score,kc reaction score,ds reaction score,reaction id,gn reaction score
"Basigin:Mannose-carrying cell recognition molecules [plasma membrane] (complex of BSG [plasma membrane] (UniProt: P35613), MAG [plasma membrane] (UniProt: P20916), ATP1B1 [plasma membrane] (UniProt: P05026), ATP1B2 [plasma membrane] (UniProt: P14415), ATP1B3 [plasma membrane] (UniProt: P54709), L1CAM [plasma membrane] (UniProt: P32004))","   \(1\. Include: (1\) and ([@B218])   \(2)    \(2)
  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------",biomedlm,2,10,,,0.0,R-HSA-375133,0.0
VAMP2(2-76) [cytosol] (UniProt: P63027),                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,biomedlm,2,11,,,0.0,R-HSA-5228578,0.0
"PLIN1 [lipid droplet] (UniProt: O60240), Pi [cytosol] (ChEBI: 43474)","\[PLIN1:P62136, 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",biomedlm,2,12,,,0.0,R-HSA-163568,0.0
"KLK5 [extracellular region] (UniProt: Q9Y337), SPINK5(490-624) [extracellular region] (UniProt: Q9NQ38)","\[Pyruvate (N/A)\]
===================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================",biomedlm,2,13,,,0.0,R-HSA-8849638,0.0
"R-Ras-GDP [plasma membrane] (complex of GDP [plasma membrane] (ChEBI: 17552), RRAS [plasma membrane] (UniProt: P10301)), Pi [cytosol] (ChEBI: 43474)","\[ChEBI: 456216\] and p-PlexinA:P75601\] (*P75601\] (Figure 1, *P75601\] (*P75601\]

**Abbreviations:**

:   \*\*GDP, \[PMID: 28853896, \*\*GTP, **R**as **g**lucy (UniProt: P2RY1 [\*\*](#fn1){ref-type=""fn""}, **t**ris(2\] and \[PMID: 2885396

    \[P079275\]

  \*\*GDP, **t**ransferase (UniProt: P630002896, **P10301

    \[2885396) \[P21926896]{.ul}

    \[2885396)

    \[2885396), **H**exokinase (UniProt: P079275\]

    \[28853896], [@B2885396], **E-PLXNA1 [@B2885387, ChEBI: 14786051

[^1]: <http://orcid.org/10.1242/orcid.00000000002896.t001>

    \<http://orcid.org/orcid.org/orcid.cgi-bin/loc-record/nyas.2885396  \] (UniProt: P62826

     \*\*\*\*GTP: <http://orcid.org/cgi-bin/orcid.nlm.nih.com/orcid.nasa.org/content/orcid.gs.org/content/orcid.gs.2017",biomedlm,2,14,,,0.0,R-HSA-399935,0.0
"Ub [cytosol] (complex of RPS27A(1-76) [cytosol] (UniProt: P62979), UBA52(1-76) [cytosol] (UniProt: P62987), UBB(1-76) [cytosol] (UniProt: P0CG47), UBC(1-76) [cytosol] (UniProt: P0CG48)), TGFB1:TGFBR2:p-TGFBR1:Ub-SMAD7 [plasma membrane] (complex of SMAD7 [cytosol] (UniProt: O15105), TGFBR2 [plasma membrane] (UniProt: P37173), TGFB1 [extracellular region] (UniProt: P01137), p-4S,T185,T186-TGFBR1 [plasma membrane] (UniProt: P36897), RPS27A(1-76) [cytosol] (UniProt: P62979), UBA52(1-76) [cytosol] (UniProt: P62987), UBB(1-76) [cytosol] (UniProt: P0CG47), UBC(1-76) [cytosol] (UniProt: P0CG48)), UCHL5/USP15 [cytosol] (complex of UCHL5 [cytosol] (UniProt: Q9Y5K5), USP15 [cytosol] (UniProt: Q9Y4E8))",                                                                                                                                                                                                                                                                                                                                      ,biomedlm,2,15,,,0.0,R-HSA-2179291,0.0
"2,5-DHBA [endoplasmic reticulum lumen] (ChEBI: 58044), H2O [endoplasmic reticulum lumen] (ChEBI: 15377)","0000243, 0000243] (Golgi)              }{.ul} (complex of the [endoplasmic reticulum]{.ul} (ChEBI: 41703)

[T}

:   cytochrome P450

     }{.ul}

                                                                                 \[[@bib1]\] (Golgi)   \[[@bib2]\]
  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------",biomedlm,2,16,,,0.0,R-HSA-9750016,0.0
"GDP [cytosol] (ChEBI: 58189), GDIs,CHMs [cytosol] (complex of CHM [cytosol] (UniProt: P24386), CHML [cytosol] (UniProt: P26374), GDI1 [cytosol] (UniProt: P31150), GDI2 [cytosol] (UniProt: P50395)), GGC-RAB9:GTP [trans-Golgi network membrane] (complex of GTP [cytosol] (ChEBI: 37565))"," \[[@B1]\] (Rab9 GDP: 458)

The authors have no competing interests

  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------",biomedlm,2,17,,,0.0,R-HSA-8876191,0.0
"USP2:PolyUb,p-S166,S188-MDM2:PolyUb,p-S342,S367,S403-MDM4 [nucleoplasm] (complex of USP2 [nucleoplasm] (UniProt: O75604), PolyUb,p-S166,S188-MDM2 [nucleoplasm] (UniProt: Q00987), PolyUb,p-S342,S367,S403-MDM4 [nucleoplasm] (UniProt: O15151))",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,biomedlm,2,18,,,0.0,R-HSA-6805022,0.0
"Cell surface:C3b:CFB [plasma membrane] (complex of CFB(26-764) [extracellular region] (UniProt: P00751), C3 beta chain [extracellular region] (UniProt: P01024))","![](http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=58189) (**GDP**) (ChEBI:30124) and [GDP**]{.ul})

: ATP (UDP (ChEBI:30123)[C**Glycerol-3-*O*-β-D-glucose (CHEBI:30124) (**C00018](http://www.guidetopharmacology-journals.org/GRAC/LigandDisplayForward?ligandId=58189) (PMID:**[58189) (**PMID:**[58189)[58189)**(C00019245) (PMID:**[58189) (**GDP**) (ChEBI:30124) (**C00019245) (**PMID:**[58189**)**,**[58189) (**GDP**)

+1**(![](http://www.guidetopharmacology-journal.org/GRAC/LigandDisplay=1124)**), **C0000855)**, **C0002546)

+1)**(![](http://www.guidetopharmacology-journal.org/GRAC/LigandDisplay=reactants: intracellular: [GDP**) \[**GDP**).

+1)**(C0000855**)** (![](http://www.guidetopharmacology-journals.org/GDP**)** (![](http://www.guidetopharmacology-journals.org/GRAC/LigandDisplayForward?ligandId=58189)**) and (![](http://www.guidetopharmacology-journal.org/GDP**)** (**ChEBI:58189**)**),**[58189**)",biomedlm,2,19,,,0.0,R-HSA-183126,0.0
"factor Xa [extracellular region] (complex of 11xCbxE-3D-F10(41-179) [extracellular region] (UniProt: P00742), Ca2+ [extracellular region] (ChEBI: 29108)), factor X activation peptide [extracellular region] (UniProt: P00742)",10xCbxE-F7(61-466) [plasma membrane] (UniProt: P08709),deepseek,1,20,0.0,0.0,,R-HSA-140777,
DGAT2 [endoplasmic reticulum membrane] (UniProt: Q96PD7),3-hydroxy-3-methylglutaryl-CoA (ChEBI: 180000),deepseek,1,21,0.0,0.0,,R-HSA-9859291,
"octanoyl-K107-GCSH [mitochondrial matrix] (UniProt: P23434), NDUFAB1 [mitochondrial inner membrane] (UniProt: O14561), H+ [mitochondrial matrix] (ChEBI: 15378)","1-acyl-sn-glycero-3-phospho-D-serine (ChEBI: 161001), 3-hydroxy-3-methylglutaryl-CoA (ChEBI: 14001)",deepseek,1,22,0.0,0.0,,R-HSA-6793590,
"RNA Polymerase II holoenzyme complex (hyperphosphorylated) [nucleoplasm] (complex of POLR2J [nucleoplasm] (UniProt: P52435), POLR2F [nucleoplasm] (UniProt: P61218), POLR2I [nucleoplasm] (UniProt: P36954), POLR2B [nucleoplasm] (UniProt: P30876), POLR2D [nucleoplasm] (UniProt: O15514), POLR2G [nucleoplasm] (UniProt: P62487), POLR2E [nucleoplasm] (UniProt: P19388), POLR2C [nucleoplasm] (UniProt: P19387), POLR2L [nucleoplasm] (UniProt: P62875), POLR2K [nucleoplasm] (UniProt: P53803), POLR2H [nucleoplasm] (UniProt: P52434), p-S2,S5(CTD)-POLR2A [nucleoplasm] (UniProt: P24928)), damaged DNA substrate:nascent mRNA hybrid [nucleoplasm], TCEA1 [nucleoplasm] (UniProt: P23193), FACT complex [nucleoplasm] (complex of SSRP1 [nucleoplasm] (UniProt: Q08945), SUPT16H [nucleoplasm] (UniProt: Q9Y5B9)), Elongin Complex [nucleoplasm] (complex of TCEB1 [nucleoplasm] (UniProt: Q15369), TCEB2 [nucleoplasm] (UniProt: Q15370), TCEB3 [nucleoplasm] (UniProt: Q14241), TCEB3B [nucleoplasm] (UniProt: Q8IYF1)), ELL [nucleoplasm] (UniProt: P55199), NELF complex [nucleoplasm] (complex of NELFA [nucleoplasm] (UniProt: Q9H3P2), NELFB [nucleoplasm] (UniProt: Q8WX92), NELFCD [nucleoplasm] (UniProt: Q8IXH7), NELFE [nucleoplasm] (UniProt: P18615)), DSIF complex [nucleoplasm] (complex of SUPT4H1 [nucleoplasm] (UniProt: P63272), p-SUPT5H [nucleoplasm] (UniProt: O00267)), P-TEFb complex [nucleoplasm] (complex of CDK9 [nucleoplasm] (UniProt: P50750), CCNK [nucleoplasm] (UniProt: O75909), CCNT1 [nucleoplasm] (UniProt: O60563), CCNT2 [nucleoplasm] (UniProt: O60583)), CTDP1 [nucleoplasm] (UniProt: Q9Y5B0), TFIIF [nucleoplasm] (complex of GTF2F1 [nucleoplasm] (UniProt: P35269), GTF2F2 [nucleoplasm] (UniProt: P13984)), PAF1C [nucleoplasm] (complex of CDC73 [nucleoplasm] (UniProt: Q6P1J9), CTR9 [nucleoplasm] (UniProt: Q6PD62), LEO1 [nucleoplasm] (UniProt: Q8WVC0), PAF1 [nucleoplasm] (UniProt: Q8N7H5), RTF1 [nucleoplasm] (UniProt: Q92541), WDR61 [nucleoplasm] (UniProt: Q9GZS3)), AFF4 [nucleoplasm] (UniProt: Q9UHB7), EAF1 [nucleoplasm] (UniProt: Q96JC9), EAF2 [nucleoplasm] (UniProt: Q96CJ1), MLLT3 [nucleoplasm] (UniProt: P42568), IWS1 [nucleoplasm] (UniProt: Q96ST2), SUPT6H [nucleoplasm] (UniProt: Q7KZ85), MLLT1 [nucleoplasm] (UniProt: Q03111), NTP [nucleoplasm] (ChEBI: 61557)","3'-OH-modified POLR2 complex [nucleoplasm] (complex of GTF2F1 [nucleoplasm] (UniProt: P35269), GTF2F2 [nucleoplasm] (UniProt: P13984), POLR2J [nucleoplasm] (UniProt: P52435), POLR2F [nucleoplasm] (UniProt: P61218), POLR2I [nucleoplasm] (UniProt: P36954), POLR2B [nucleoplasm] (UniProt: P30876), POLR2D [nucleoplasm] (UniProt: O15514), POLR2G [nucleoplasm] (UniProt: P62487), POLR2E [nucleoplasm] (UniProt: P19388), POLR2C [nucleoplasm] (UniProt: P19387), POLR2L [nucleoplasm] (UniProt: P62875), TCEA1 [nucleoplasm] (UniProt: P24928), SSRP1 [nucleoplasm] (UniProt: Q08945), SUPT16H [nucleoplasm] (UniProt: Q9Y5B9), TCEB1 [nucleoplasm] (UniProt: Q15369), TCEB2 [nucleoplasm] (UniProt: Q15370), TCEB3 [nucleoplasm] (UniProt: Q14241), TCEB3B [nucleoplasm] (UniProt: Q8IYF1), ELL [nucleoplasm] (UniProt: P55199), CTDP1 [nucleoplasm] (UniProt: Q9Y5B0), NELFA [nucleoplasm] (UniProt: Q9H3P2), NELFB [nucleoplasm] (UniProt: Q8WX92), NELFCD [nucleoplasm] (UniProt: Q8IXH7), NELFE [nucleoplasm] (UniProt: P186",deepseek,1,23,0.3875,0.3875,,R-HSA-113429,
"PPIase:nsp1 [cytosol] (complex of pp1a-nsp1 [cytosol] (UniProt: P0C6U8), pp1ab-nsp1 [cytosol] (UniProt: P0C6X7), FKBP1A [cytosol] (UniProt: P62942), PPIA [cytosol] (UniProt: P62937), PPIB [cytosol] (UniProt: P23284), PPIG [cytosol] (UniProt: Q13427), PPIH [cytosol] (UniProt: O43447))","1-Aminocyclopropane-1-carboxylate O-phosphoryltransferase (UniProt: Q9Y3X6), PPIN [cytosol] (UniProt: Q9Y3X7), PPII [cytosol] (UniProt: Q9Y3X8), PPIII [cytosol] (UniProt: Q9Y3X9), PPIV [cytosol] (UniProt: Q9Y3XA), PPV [cytosol] (UniProt: Q9Y3XB), PPVI [cytosol] (UniProt: Q9Y3XC), PPVII [cytosol] (UniProt: Q9Y3XD), PPVIII [cytosol] (UniProt: Q9Y3XE), PPIX [cytosol] (UniProt: Q9Y3XF), PPIIA [cytosol] (UniProt: Q9Y3XG), PPIIB [cytosol] (UniProt: Q9Y3XH), PPIIIC [cytosol] (UniProt: Q9Y3XJ), PPIIID [cytosol] (UniProt: Q9Y3XK), PPIIE [cytosol] (UniProt: Q9Y3XL), PPIIF [cytosol] (UniProt: Q9Y3XL), PPIIG [cytosol] (UniProt: Q9Y3XM), PPIIH [cytosol] (UniProt: Q9Y3XN), PPIII [cytosol] (UniProt: Q9Y3XO), PPIIJ [cytosol] (UniProt: Q9Y3XP), PPIIK [cytosol] (UniProt: Q9Y3XP), PPIIL [cytosol] (UniProt: Q9Y3XQ), PPIIM [cytosol] (UniProt: Q9Y3XR), PPIIN [cytosol] (UniProt: Q9Y3XS), PPIIO [cytosol] (UniProt: Q9Y3XT), PPIIP [cytosol] (UniProt: Q",deepseek,1,24,0.0,0.0,,R-HSA-9728804,
"p-S207,T211-MAP2K6 [cytosol] (UniProt: P52564), ADP [cytosol] (ChEBI: 456216)","4-P-EIF2AK2 [cytosol] (UniProt: Q9Y3X6), ADP [cytosol] (ChEBI: 456215)",deepseek,1,25,0.5,0.5,,R-HSA-9836322,
"PTGFR:PGF2a [plasma membrane] (complex of PGF2a [extracellular region] (ChEBI: 57404), PTGFR [plasma membrane] (UniProt: P43088))","20-HETE (ChEBI: 140006), PGF2a (ChEBI: 57404)",deepseek,1,26,0.5,0.5,,R-HSA-416929,
"Me3K135-KIN [nucleoplasm] (UniProt: O60870), AdoHcy [nucleoplasm] (ChEBI: 57856)","5-methylcytosine (ChEBI: 166302), S-adenosyl-L-homocysteine (ChEBI: 10110)",deepseek,1,27,0.5,0.5,,R-HSA-8932275,
p-5Y-LAT:p-SHC1:GRB2:SOS1 [plasma membrane] (complex of SOS1 [cytosol] (UniProt: Q07889)),"2-Cys-GST [cytosol] (ChEBI: 180019), p-5Y-LAT-2 [cytosol] (ChEBI: 16732)",deepseek,1,28,0.0,0.25,,R-HSA-2396599,
C-ter TLR7 dimer:HCQ [endosome membrane] (complex of TLR7(?-1049) [endosome membrane] (UniProt: Q9NYK1)),,deepseek,1,29,0.0,0.0,,R-HSA-9679029,
"LM,LAM:lprG [peptidoglycan-based cell wall] (complex of LprG [peptidoglycan-based cell wall] (UniProt: P9WK45), LM [peptidoglycan-based cell wall] (ChEBI: 142968), LAM [peptidoglycan-based cell wall] (ChEBI: 59524))","2-C-methylglucosamine-6-phosphate (ChEBI: 200022), LprG [cytosol] (UniProt: P9WK45)",deepseek,2,30,,,0.0,R-HSA-9697077,0.0
"PEX3:PEX19:class I PMP [peroxisomal membrane] (complex of PEX19 [cytosol] (UniProt: P40855), ABCD1 [cytosol] (UniProt: P33897), ABCD2 [cytosol] (UniProt: Q9UBJ2), ABCD3 [cytosol] (UniProt: P28288), ACBD5 [cytosol] (UniProt: Q5T8D3), ATAD1 [cytosol] (UniProt: Q8NBU5), FIS1 [cytosol] (UniProt: Q9Y3D6), GDAP1 [cytosol] (UniProt: Q8TB36), PEX12 [cytosol] (UniProt: O00623), PEX13 [cytosol] (UniProt: Q92968), PEX14 [cytosol] (UniProt: O75381), PEX16 [cytosol] (UniProt: Q9Y5Y5), PEX26 [cytosol] (UniProt: Q7Z412), PXMP2 [cytosol] (UniProt: Q9NR77), PXMP4 [cytosol] (UniProt: Q9Y6I8), SLC25A17 [cytosol] (UniProt: O43808), PEX11B [cytosol] (UniProt: O96011), PEX2 [cytosol] (UniProt: P28328), PEX3 [peroxisomal membrane] (UniProt: P56589))","11-cis-retinal (ChEBI: 20002), 13-cis-retinal (ChEBI: 20003), 11-cis-retinol (ChEBI: 20004), 13-cis-retinol (ChEBI: 20005), 11-cis-retinaldehyde (ChEBI: 20006), 13-cis-retinaldehyde (ChEBI: 20007), 11-cis-retinamide (ChEBI: 20008), 13-cis-retinamide (ChEBI: 20009), 11-cis-retinyl esters (ChEBI: 20010), 13-cis-retinyl esters (ChEBI: 20011)",deepseek,2,31,,,0.0,R-HSA-9603784,0.0
"H2O2 [cytosol] (ChEBI: 16240), NH3 [cytosol] (ChEBI: 16134), 3,4-dihydroxyphenylglycolaldehyde [cytoplasm] (ChEBI: 27852)","2-oxoglutarate [cytosol] (ChEBI: 1072), CO2 [cytosol] (ChEBI: 15380), H2O [cytosol] (ChEBI: 15377)",deepseek,2,32,,,0.0,R-HSA-374909,0.0
NOTCH3 mRNA [cytosol],,deepseek,2,33,,,0.0,R-HSA-1912415,0.0
AGT(25-34) [extracellular region] (UniProt: P01019),"1-Phenyl-2-thiohydroluric acid (PTTH) [extracellular region] (ChEBI: 190022), ATP [extracellular region] (ChEBI: 15422)",deepseek,2,34,,,0.0,R-HSA-2065357,0.0
"p-2S-SMAD2,3:SMAD4:SKI/SKIL:NCOR:RNF111/SMURF2 [nucleoplasm] (complex of SKI [nucleoplasm] (UniProt: P12755), SKIL [nucleoplasm] (UniProt: P12757), NCOR1 [nucleoplasm] (UniProt: O75376), NCOR2 [nucleoplasm] (UniProt: Q9Y618), p-S423,S425-SMAD3 [nucleoplasm] (UniProt: P84022), SMAD4 [nucleoplasm] (UniProt: Q13485), p-S465,S467-SMAD2 [nucleoplasm] (UniProt: Q15796))",,deepseek,2,35,,,0.0,R-HSA-2186741,0.0
"MMACHC:cob(II)alamin [cytosol] (complex of MMACHC [cytosol] (UniProt: Q9Y4U1), cob(II)alamin [cytosol] (ChEBI: 16304)), NADH [cytosol] (ChEBI: 57945)","5,10-methylenetetrahydrofolate (ChEBI: 160000), 5,10-methylene-tetrahydrofolate (ChEBI: 160001), 5,10-dimethylenetetrahydrofolate (ChEBI: 160002), 5,10-dioxo-tetrahydrofolate (ChEBI: 160003), NH4+ (ChEBI: 1419), 1-carbon (ChEBI: 19000)",deepseek,2,36,,,0.0,R-HSA-9759549,0.0
