reaction_id,prompt,answer,generated
R-HSA-176646,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: SULT1A1,A2,C2,4A1 [cytosol] (complex of SULT1A1 [cytosol] (UniProt: P50225), SULT1A2 [cytosol] (UniProt: P50226), SULT1C4 [cytosol] (UniProt: O75897), SULT4A1 [cytosol] (UniProt: Q9BR01))
Reactants: PAPS [cytosol] (ChEBI: 58339), PNP [cytosol] (ChEBI: 16836)
Products: ","PAP [cytosol] (ChEBI: 58343), p-nitrophenol sulfate [cytosol] (ChEBI: 35422)",
R-HSA-1855154,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: IMPA1/2 [cytosol] (complex of IMPA1 [cytosol] (UniProt: P29218), Mg2+ [cytosol] (ChEBI: 18420), IMPA2 [cytosol] (UniProt: O14732))
Reactants: I1P [cytosol] (ChEBI: 18297), H2O [cytosol] (ChEBI: 15377)
Products: ","Ins [cytosol] (ChEBI: 17268), Pi [cytosol] (ChEBI: 43474)",
R-HSA-1855208,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: INPP1:Mg2+ [cytosol] (complex of Mg2+ [cytosol] (ChEBI: 18420), INPP1 [cytosol] (UniProt: P49441))
Reactants: I(1,4)P2 [cytosol] (ChEBI: 17816), H2O [cytosol] (ChEBI: 15377)
Products: ","I4P [cytosol] (ChEBI: 18384), Pi [cytosol] (ChEBI: 43474)",
R-HSA-190687,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: N/A
Reactants: GJB1 [endoplasmic reticulum-Golgi intermediate compartment] (UniProt: P08034), GJB2 [endoplasmic reticulum-Golgi intermediate compartment] (UniProt: P29033)
Products: ","Connexin 26:Connexin 32 connexon [endoplasmic reticulum-Golgi intermediate compartment] (complex of GJB1 [endoplasmic reticulum-Golgi intermediate compartment] (UniProt: P08034), GJB2 [endoplasmic reticulum-Golgi intermediate compartment] (UniProt: P29033))",
R-HSA-191414,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: MVD dimer [cytosol] (complex of MVD [cytosol] (UniProt: P53602))
Reactants: MVA5PP [cytosol] (ChEBI: 57557), ATP [cytosol] (ChEBI: 30616)
Products: ","IPPP [cytosol] (ChEBI: 128769), ADP [cytosol] (ChEBI: 456216), Pi [cytosol] (ChEBI: 43474), CO2 [cytosol] (ChEBI: 16526)",
R-HSA-192157,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: CYP8B1 [endoplasmic reticulum membrane] (UniProt: Q9UNU6)
Reactants: 4CHOL7aOLONE [endoplasmic reticulum membrane] (ChEBI: 17899), NADPH [cytosol] (ChEBI: 57783), H+ [cytosol] (ChEBI: 15378), O2 [cytosol] (ChEBI: 15379)
Products: ","4CHOL7a,12aDONE [endoplasmic reticulum membrane] (ChEBI: 28477), NADP+ [cytosol] (ChEBI: 58349), H2O [cytosol] (ChEBI: 15377)",
R-HSA-194121,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: SLC10A1 [plasma membrane] (UniProt: Q14973)
Reactants: Na+ [extracellular region] (ChEBI: 29101), bile salts and acids [extracellular region] (complex of CCA [extracellular region] (ChEBI: 29747), GCCA [extracellular region] (ChEBI: 29746), TCCA [extracellular region] (ChEBI: 36257), CDCA [extracellular region] (ChEBI: 36234), GCDCA [extracellular region] (ChEBI: 36252), TCDCA [extracellular region] (ChEBI: 9407))
Products: ","Na+ [cytosol] (ChEBI: 29101), bile salts and acids [cytosol] (complex of CCA [cytosol] (ChEBI: 29747), GCCA [cytosol] (ChEBI: 29746), TCCA [cytosol] (ChEBI: 36257), CDCA [cytosol] (ChEBI: 36234), GCDCA [cytosol] (ChEBI: 36252), TCDCA [cytosol] (ChEBI: 16525))",
R-HSA-1981120,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: COLGALT1,COLGALT2:Lysyl hydroxylated collagen propeptides [endoplasmic reticulum lumen] (complex of COLGALT1 [endoplasmic reticulum lumen] (UniProt: Q8NBJ5), COLGALT2 [endoplasmic reticulum lumen] (UniProt: Q8IYK4))
Reactants: COLGALT1,COLGALT2:Lysyl hydroxylated collagen propeptides [endoplasmic reticulum lumen] (complex of COLGALT1 [endoplasmic reticulum lumen] (UniProt: Q8NBJ5), COLGALT2 [endoplasmic reticulum lumen] (UniProt: Q8IYK4)), UDP-Gal [endoplasmic reticulum lumen] (ChEBI: 66914)
Products: ","COLGALT1,COLGALT2:Galactosyl-hydroxylysyl collagen propeptides [endoplasmic reticulum lumen] (complex of COLGALT1 [endoplasmic reticulum lumen] (UniProt: Q8NBJ5), COLGALT2 [endoplasmic reticulum lumen] (UniProt: Q8IYK4)), UDP [endoplasmic reticulum lumen] (ChEBI: 58223)",
R-HSA-1989766,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: N/A
Reactants: CTGF gene [nucleoplasm] (ENSEMBL: ENSG00000118523)
Products: ",CTGF [extracellular region] (UniProt: P29279),
R-HSA-212642,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: SLC38A2 [plasma membrane] (UniProt: Q96QD8)
Reactants: L-Gln [extracellular region] (ChEBI: 58359), Na+ [extracellular region] (ChEBI: 29101)
Products: ","L-Gln [cytosol] (ChEBI: 58359), Na+ [cytosol] (ChEBI: 29101)",
R-HSA-2464822,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: RDH12 [photoreceptor inner segment membrane] (UniProt: Q96NR8)
Reactants: NADPH [cytosol] (ChEBI: 57783), atRAL [cytosol] (ChEBI: 17898), H+ [cytosol] (ChEBI: 15378)
Products: ","NADP+ [cytosol] (ChEBI: 58349), atROL [cytosol] (ChEBI: 17336)",
R-HSA-372819,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: PCK2 [mitochondrial matrix] (UniProt: Q16822)
Reactants: OA [mitochondrial matrix] (ChEBI: 16452), GTP [mitochondrial matrix] (ChEBI: 37565)
Products: ","PEP [mitochondrial matrix] (ChEBI: 58702), CO2 [mitochondrial matrix] (ChEBI: 16526), GDP [mitochondrial matrix] (ChEBI: 58189)",
R-HSA-3797202,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: N/A
Reactants: IGFBP7 gene [nucleoplasm] (ENSEMBL: ENSG00000163453)
Products: ",IGFBP7 [extracellular region] (UniProt: Q16270),
R-HSA-380198,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: PARS2 [mitochondrial matrix] (UniProt: Q7L3T8)
Reactants: L-Pro [mitochondrial matrix] (ChEBI: 60039), tRNA(Pro) [mitochondrial matrix], ATP [mitochondrial matrix] (ChEBI: 30616)
Products: ","Pro-tRNA(Pro) [mitochondrial matrix], AMP [mitochondrial matrix] (ChEBI: 456215), PPi [mitochondrial matrix] (ChEBI: 33019)",
R-HSA-4085217,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: NPL tetramer [cytosol] (complex of NPL [cytosol] (UniProt: Q9BXD5))
Reactants: Neu5Ac, Neu5Gc [cytosol] (complex of Neu5Ac [cytosol] (ChEBI: 35418), Neu5Gc [cytosol] (ChEBI: 29025))
Products: ","ManNAc,ManNGc [cytosol] (complex of ManNAc [cytosol] (ChEBI: 17122), ManNGc [cytosol] (ChEBI: 28255)), PYR [cytosol] (ChEBI: 15361)",
R-HSA-427645,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: SLC34A3 [plasma membrane] (UniProt: Q8N130)
Reactants: Pi [extracellular region] (ChEBI: 43474), Na+ [extracellular region] (ChEBI: 29101)
Products: ","Pi [cytosol] (ChEBI: 43474), Na+ [cytosol] (ChEBI: 29101)",
R-HSA-435366,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: SLC30A1 [plasma membrane] (UniProt: Q9Y6M5)
Reactants: Zn2+ [cytosol] (ChEBI: 29105)
Products: ",Zn2+ [extracellular region] (ChEBI: 29105),
R-HSA-442393,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: SLC39A7 [endoplasmic reticulum membrane] (UniProt: Q92504)
Reactants: Zn2+ [endoplasmic reticulum lumen] (ChEBI: 29105)
Products: ",Zn2+ [cytosol] (ChEBI: 29105),
R-HSA-446215,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: ALG9 [endoplasmic reticulum membrane] (UniProt: Q9H6U8)
Reactants: (GlcNAc)2 (Man)6 (PP-Dol)1 [lumenal side of endoplasmic reticulum membrane] (ChEBI: 53023), DOLP-Man [lumenal side of endoplasmic reticulum membrane] (ChEBI: 58211)
Products: ","(GlcNAc)2 (Man)7 (PP-Dol)1 [lumenal side of endoplasmic reticulum membrane] (ChEBI: 59088), DOLP [lumenal side of endoplasmic reticulum membrane] (ChEBI: 57683)",
R-HSA-4827383,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: WHSC1, NSD1, SMYD2, ASH1L [nucleoplasm] (complex of WHSC1 [nucleoplasm] (UniProt: O96028), NSD1 [nucleoplasm] (UniProt: Q96L73), SMYD2 [nucleoplasm] (UniProt: Q9NRG4), ASH1L [nucleoplasm] (UniProt: Q9NR48))
Reactants: Histone H3 [nucleoplasm], AdoMet [nucleoplasm] (ChEBI: 59789)
Products: ","MeK37-histone H3 [nucleoplasm], AdoHcy [nucleoplasm] (ChEBI: 57856)",
R-HSA-5336466,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: MRS2 [mitochondrial inner membrane] (UniProt: Q9HD23)
Reactants: Mg2+ [cytosol] (ChEBI: 18420)
Products: ",Mg2+ [mitochondrial matrix] (ChEBI: 18420),
R-HSA-549424,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: N/A
Reactants: CCRN4L gene [nucleoplasm] (ENSEMBL: ENSG00000151014)
Products: ",CCRN4L [nucleoplasm] (UniProt: Q9UK39),
R-HSA-5617178,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: N/A
Reactants: ATP2B4 [plasma membrane] (UniProt: P23634), NOS1 [cytosol] (UniProt: P29475)
Products: ","ATP2B4:NOS1 [plasma membrane] (complex of ATP2B4 [plasma membrane] (UniProt: P23634), NOS1 [cytosol] (UniProt: P29475))",
R-HSA-5618328,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: ATAT [cytosol] (UniProt: Q5SQI0)
Reactants: Ac-CoA [cytosol] (ChEBI: 57288), microtubule (no TUBA4B) [cytosol]
Products: ","acetylated microtubule [cytosol], CoA-SH [cytosol] (ChEBI: 57287)",
R-HSA-5649686,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: N/A
Reactants: NEIL2 [nucleoplasm] (UniProt: Q969S2), 5-OHU-dsDNA [nucleoplasm]
Products: ",NEIL2:5-OHU-dsDNA [nucleoplasm] (complex of NEIL2 [nucleoplasm] (UniProt: Q969S2)),
R-HSA-5660503,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: N/A
Reactants: CSRP1 gene [nucleoplasm] (ENSEMBL: ENSG00000159176)
Products: ",CSRP1 [nucleoplasm] (UniProt: P21291),
R-HSA-5662615,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: N/A
Reactants: MT1X [cytosol] (UniProt: P80297), Zn2+ [cytosol] (ChEBI: 29105)
Products: ","MT1X:7Zn2+ [cytosol] (complex of MT1X [cytosol] (UniProt: P80297), Zn2+ [cytosol] (ChEBI: 29105))",
R-HSA-5691507,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: ASPA:Zn2+ dimer [cytosol] (complex of ASPA [cytosol] (UniProt: P45381), Zn2+ [cytosol] (ChEBI: 29105))
Reactants: H2O [cytosol] (ChEBI: 15377), NAASP [cytosol] (ChEBI: 16953)
Products: ","L-Asp [cytosol] (ChEBI: 29991), CH3COO- [cytosol] (ChEBI: 15366)",
R-HSA-5693012,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: N/A
Reactants: TNFRSF25 [plasma membrane] (UniProt: Q93038)
Products: ","TNFRSF25:TNFSF15 [plasma membrane] (complex of TNFSF15 [plasma membrane] (UniProt: O95150), TNFRSF25 [plasma membrane] (UniProt: Q93038))",
R-HSA-5694563,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: ABHD10 [mitochondrial matrix] (UniProt: Q9NUJ1)
Reactants: AMPAG [mitochondrial matrix] (ChEBI: 64689), H2O [mitochondrial matrix] (ChEBI: 15377)
Products: ","MPA [mitochondrial matrix] (ChEBI: 62932), GlcA [mitochondrial matrix] (ChEBI: 15748)",
R-HSA-6782434,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: THG1L [cytosol] (UniProt: Q9NWX6)
Reactants: tRNA(His) [cytosol], GTP [cytosol] (ChEBI: 37565), ATP [cytosol] (ChEBI: 30616)
Products: ","5'-pppG-p-tRNA(His) [cytosol], PPi [cytosol] (ChEBI: 33019)",
R-HSA-6786567,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: KIAA1456 [cytoplasm] (UniProt: Q9P272)
Reactants: tRNA containing 5-carboxymethylU-34 [cytoplasm], AdoMet [cytoplasm] (ChEBI: 59789)
Products: ","tRNA containing 5-methoxycarbonylmethylU-34 [cytoplasm], AdoHcy [cytoplasm] (ChEBI: 57856)",
R-HSA-6788295,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: HDHD1:Mg2+ [cytosol] (complex of HDHD1 [cytosol] (UniProt: Q08623), Mg2+ [cytosol] (ChEBI: 18420))
Reactants: PURIDP [cytosol] (ChEBI: 18116), H2O [cytosol] (ChEBI: 15377)
Products: ","PURID [cytosol] (ChEBI: 17802), Pi [cytosol] (ChEBI: 43474)",
R-HSA-6804527,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: N/A
Reactants: ITLN1 trimer:Ca2+ [extracellular region] (complex of ITLN1 [extracellular region] (UniProt: Q8WWA0), Ca2+ [extracellular region] (ChEBI: 29108))
Products: ","INTL1:bacterial glycan [extracellular region] (complex of KDO [peptidoglycan-based cell wall] (ChEBI: 85986), beta-D-galactofuranosyl [peptidoglycan-based cell wall] (ChEBI: 59496), heptose [peptidoglycan-based cell wall] (ChEBI: 42976), ITLN1 [extracellular region] (UniProt: Q8WWA0), Ca2+ [extracellular region] (ChEBI: 29108))",
R-HSA-6809663,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: N/A
Reactants: Keratin tonofilament [cytosol], Keratin associated proteins [cytosol] (complex of KRTAP1-1 [cytosol] (UniProt: Q07627), KRTAP1-3 [cytosol] (UniProt: Q8IUG1), KRTAP1-4 [cytosol] (UniProt: P0C5Y4), KRTAP1-5 [cytosol] (UniProt: Q9BYS1), KRTAP2-1 [cytosol] (UniProt: Q9BYU5), KRTAP2-2 [cytosol] (UniProt: Q9BYT5), KRTAP2-3 [cytosol] (UniProt: P0C7H8), KRTAP2-4 [cytosol] (UniProt: Q9BYR9), KRTAP3-1 [cytosol] (UniProt: Q9BYR8), KRTAP3-2 [cytosol] (UniProt: Q9BYR7), KRTAP3-3 [cytosol] (UniProt: Q9BYR6), KRTAP4-1 [cytosol] (UniProt: Q9BYQ7), KRTAP4-11 [cytosol] (UniProt: Q9BYQ6), KRTAP4-2 [cytosol] (UniProt: Q9BYR5), KRTAP4-3 [cytosol] (UniProt: Q9BYR4), KRTAP4-4 [cytosol] (UniProt: Q9BYR3), KRTAP4-5 [cytosol] (UniProt: Q9BYR2), KRTAP4-6 [cytosol] (UniProt: Q9BYQ5), KRTAP4-7 [cytosol] (UniProt: Q9BYR0), KRTAP4-8 [cytosol] (UniProt: Q9BYQ9), KRTAP4-9 [cytosol] (UniProt: Q9BYQ8), KRTAP5-1 [cytosol] (UniProt: Q6L8H4), KRTAP5-10 [cytosol] (UniProt: Q6L8G5), KRTAP5-11 [cytosol] (UniProt: Q6L8G4), KRTAP5-2 [cytosol] (UniProt: Q701N4), KRTAP5-3 [cytosol] (UniProt: Q6L8H2), KRTAP5-4 [cytosol] (UniProt: Q6L8H1), KRTAP5-5 [cytosol] (UniProt: Q701N2), KRTAP5-6 [cytosol] (UniProt: Q6L8G9), KRTAP5-7 [cytosol] (UniProt: Q6L8G8), KRTAP5-8 [cytosol] (UniProt: O75690), KRTAP5-9 [cytosol] (UniProt: P26371), KRTAP6-1 [cytosol] (UniProt: Q3LI64), KRTAP6-2 [cytosol] (UniProt: Q3LI66), KRTAP6-3 [cytosol] (UniProt: Q3LI67), KRTAP8-1 [cytosol] (UniProt: Q8IUC2), KRTAP9-1 [cytosol] (UniProt: A8MXZ3), KRTAP9-2 [cytosol] (UniProt: Q9BYQ4), KRTAP9-3 [cytosol] (UniProt: Q9BYQ3), KRTAP9-4 [cytosol] (UniProt: Q9BYQ2), KRTAP9-6 [cytosol] (UniProt: A8MVA2), KRTAP9-7 [cytosol] (UniProt: A8MTY7), KRTAP9-8 [cytosol] (UniProt: Q9BYQ0), KRTAP9-9 [cytosol] (UniProt: Q9BYP9), KRTAP10-1 [cytosol] (UniProt: P60331), KRTAP10-10 [cytosol] (UniProt: P60014), KRTAP10-11 [cytosol] (UniProt: P60412), KRTAP10-12 [cytosol] (UniProt: P60413), KRTAP10-2 [cytosol] (UniProt: P60368), KRTAP10-3 [cytosol] (UniProt: P60369), KRTAP10-4 [cytosol] (UniProt: P60372), KRTAP10-5 [cytosol] (UniProt: P60370), KRTAP10-6 [cytosol] (UniProt: P60371), KRTAP10-7 [cytosol] (UniProt: P60409), KRTAP10-8 [cytosol] (UniProt: P60410), KRTAP10-9 [cytosol] (UniProt: P60411), KRTAP11-1 [cytosol] (UniProt: Q8IUC1), KRTAP12-1 [cytosol] (UniProt: P59990), KRTAP12-2 [cytosol] (UniProt: P59991), KRTAP12-3 [cytosol] (UniProt: P60328), KRTAP12-4 [cytosol] (UniProt: P60329), KRTAP13-1 [cytosol] (UniProt: Q8IUC0), KRTAP13-2 [cytosol] (UniProt: Q52LG2), KRTAP13-3 [cytosol] (UniProt: Q3SY46), KRTAP13-4 [cytosol] (UniProt: Q3LI77), KRTAP15-1 [cytosol] (UniProt: Q3LI76), KRTAP23-1 [cytosol] (UniProt: A1A580), KRTAP16-1 [cytosol] (UniProt: A8MUX0), KRTAP17-1 [cytosol] (UniProt: Q9BYP8), KRTAP19-1 [cytosol] (UniProt: Q8IUB9), KRTAP19-2 [cytosol] (UniProt: Q3LHN2), KRTAP19-3 [cytosol] (UniProt: Q7Z4W3), KRTAP19-4 [cytosol] (UniProt: Q3LI73), KRTAP19-5 [cytosol] (UniProt: Q3LI72), KRTAP19-6 [cytosol] (UniProt: Q3LI70), KRTAP19-7 [cytosol] (UniProt: Q3SYF9), KRTAP19-8 [cytosol] (UniProt: Q3LI54), KRTAP22-1 [cytosol] (UniProt: Q3MIV0), KRTAP20-1 [cytosol] (UniProt: Q3LI63), KRTAP20-2 [cytosol] (UniProt: Q3LI61), KRTAP21-1 [cytosol] (UniProt: Q3LI58), KRTAP21-2 [cytosol] (UniProt: Q3LI59), KRTAP21-3 [cytosol] (UniProt: Q3LHN1), KRTAP24-1 [cytosol] (UniProt: Q3LI83), KRTAP25-1 [cytosol] (UniProt: Q3LHN0), KRTAP26-1 [cytosol] (UniProt: Q6PEX3), KRTAP27-1 [cytosol] (UniProt: Q3LI81), KRTAP29-1 [cytosol] (UniProt: A8MX34))
Products: ",Keratin tonofilament:Keratin associated proteins polymer [cytosol],
R-HSA-6810472,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: NUDT13 [mitochondrial matrix] (UniProt: Q86X67)
Reactants: AP6A [mitochondrial matrix] (ChEBI: 63740), H2O [mitochondrial matrix] (ChEBI: 15377)
Products: ","AP4 [mitochondrial matrix] (ChEBI: 58450), ADP [mitochondrial matrix] (ChEBI: 456216)",
